Angle [rad],Vrms [V],Vavg [V],Vrms [%],Vmeas [V],,In [%],Time [us],Time [ticks],Vmeas [V]
1.356E+00,95.666,65.370,79.63%,72.56,,,,,
1.359E+00,95.521,65.204,79.51%,72.38,,,,,
1.362E+00,95.376,65.038,79.39%,72.19,,,,,
1.365E+00,95.231,64.871,79.27%,72.01,,,,,
1.368E+00,95.085,64.705,79.14%,71.82,,,,,
1.371E+00,94.939,64.538,79.02%,71.64,,,,,
1.374E+00,94.793,64.372,78.90%,71.45,,,,,
1.378E+00,94.646,64.205,78.78%,71.27,,,,,
1.381E+00,94.498,64.038,78.66%,71.08,,,,,
1.384E+00,94.351,63.871,78.53%,70.90,,,,,
1.387E+00,94.351,63.871,78.53%,70.90,,,,,
1.390E+00,94.203,63.704,78.41%,70.71,,,,,
1.393E+00,94.054,63.536,78.29%,70.53,,,,,
1.396E+00,93.905,63.369,78.16%,70.34,,,,,
1.399E+00,93.756,63.202,78.04%,70.15,,,,,
1.402E+00,93.606,63.034,77.91%,69.97,,,,,
1.405E+00,93.456,62.867,77.79%,69.78,,,,,
1.408E+00,93.305,62.699,77.66%,69.60,,,,,
1.411E+00,93.154,62.531,77.54%,69.41,,,,,
1.414E+00,93.003,62.363,77.41%,69.22,,,,,
1.417E+00,92.851,62.195,77.28%,69.04,,,,,
1.421E+00,92.699,62.027,77.16%,68.85,,,,,
1.424E+00,92.546,61.859,77.03%,68.66,,,,,
1.427E+00,92.393,61.691,76.90%,68.48,,,,,
1.430E+00,92.240,61.523,76.78%,68.29,,,,,
1.433E+00,92.086,61.354,76.65%,68.10,,,,,
1.436E+00,91.932,61.186,76.52%,67.92,,,,,
1.439E+00,91.778,61.017,76.39%,67.73,,,,,
1.442E+00,91.623,60.849,76.26%,67.54,,,,,
1.445E+00,91.467,60.680,76.13%,67.36,,,,,
1.448E+00,91.312,60.512,76.00%,67.17,,,,,
1.451E+00,91.156,60.343,75.87%,66.98,,,,,
1.454E+00,90.999,60.174,75.74%,66.79,,,,,
1.457E+00,90.842,60.005,75.61%,66.61,,,,,
1.460E+00,90.685,59.836,75.48%,66.42,,,,,
1.463E+00,90.528,59.667,75.35%,66.23,,,,,
1.467E+00,90.370,59.498,75.22%,66.04,,,,,
1.470E+00,90.211,59.329,75.09%,65.86,,,,,
1.473E+00,90.052,59.160,74.95%,65.67,,,,,
1.476E+00,89.893,58.991,74.82%,65.48,,,,,
1.479E+00,89.734,58.821,74.69%,65.29,,,,,
1.482E+00,89.574,58.652,74.56%,65.10,,,,,
1.485E+00,89.414,58.483,74.42%,64.92,,,,,
1.488E+00,89.253,58.313,74.29%,64.73,,,,,
1.491E+00,89.092,58.144,74.16%,64.54,,,,,
1.494E+00,88.931,57.974,74.02%,64.35,,,,,
1.497E+00,88.769,57.805,73.89%,64.16,,,,,
1.500E+00,88.607,57.635,73.75%,63.98,,,,,
1.503E+00,88.444,57.466,73.62%,63.79,,,,,
1.506E+00,88.281,57.296,73.48%,63.60,,,,,
1.509E+00,88.118,57.126,73.34%,63.41,,,,,
1.513E+00,88.118,57.126,73.34%,63.41,,,,,
1.516E+00,87.955,56.957,73.21%,63.22,,,,,
1.519E+00,87.791,56.787,73.07%,63.03,,,,,
1.522E+00,87.626,56.617,72.94%,62.84,,,,,
1.525E+00,87.462,56.447,72.80%,62.66,,,,,
1.528E+00,87.297,56.277,72.66%,62.47,,,,,
1.531E+00,87.131,56.108,72.52%,62.28,,,,,
1.534E+00,86.966,55.938,72.39%,62.09,,,,,
1.537E+00,86.799,55.768,72.25%,61.90,,,,,
1.540E+00,86.633,55.598,72.11%,61.71,,,,,
1.543E+00,86.466,55.428,71.97%,61.53,,,,,
1.546E+00,86.299,55.258,71.83%,61.34,,,,,
1.549E+00,86.132,55.088,71.69%,61.15,,,,,
1.552E+00,85.964,54.918,71.55%,60.96,,,,,
1.556E+00,85.795,54.748,71.41%,60.77,,,,,
1.559E+00,85.627,54.578,71.27%,60.58,,,,,
1.562E+00,85.458,54.408,71.13%,60.39,,,,,
1.565E+00,85.289,54.238,70.99%,60.20,,,,,
1.568E+00,85.119,54.068,70.85%,60.02,,,,,
1.571E+00,84.949,53.898,70.71%,59.83,,,,,
1.574E+00,84.779,53.728,70.57%,59.64,,,,,
1.577E+00,84.608,53.558,70.42%,59.45,,,,,
1.580E+00,84.437,53.388,70.28%,59.26,,,,,
1.583E+00,84.266,53.218,70.14%,59.07,,,,,
1.586E+00,84.095,53.048,70.00%,58.88,,,,,
1.589E+00,83.923,52.878,69.85%,58.69,,,,,
1.592E+00,83.750,52.708,69.71%,58.51,,,,,
1.595E+00,83.578,52.538,69.57%,58.32,,,,,
1.598E+00,83.405,52.368,69.42%,58.13,,,,,
1.602E+00,83.231,52.199,69.28%,57.94,,,,,
1.605E+00,83.058,52.029,69.13%,57.75,,,,,
1.608E+00,82.884,51.859,68.99%,57.56,,,,,
1.611E+00,82.710,51.689,68.84%,57.37,,,,,
1.614E+00,82.535,51.519,68.70%,57.19,,,,,
1.617E+00,82.360,51.349,68.55%,57.00,,,,,
1.620E+00,82.185,51.179,68.41%,56.81,,,,,
1.623E+00,82.009,51.010,68.26%,56.62,,,,,
1.626E+00,81.834,50.840,68.11%,56.43,,,,,
1.629E+00,81.657,50.670,67.97%,56.24,,,,,
1.632E+00,81.481,50.500,67.82%,56.06,,,,,
1.635E+00,81.304,50.331,67.67%,55.87,,,,,
1.638E+00,81.304,50.331,67.67%,55.87,,,,,
1.641E+00,81.127,50.161,67.53%,55.68,,,,,
1.644E+00,80.950,49.992,67.38%,55.49,,,,,
1.648E+00,80.772,49.822,67.23%,55.30,,,,,
1.651E+00,80.594,49.653,67.08%,55.11,,,,,
1.654E+00,80.415,49.483,66.93%,54.93,,,,,
1.657E+00,80.237,49.314,66.78%,54.74,,,,,
1.660E+00,80.058,49.144,66.64%,54.55,,,,,
1.663E+00,79.879,48.975,66.49%,54.36,,,,,
1.666E+00,79.699,48.806,66.34%,54.17,,,,,
1.669E+00,79.519,48.637,66.19%,53.99,,,,,
1.672E+00,79.339,48.467,66.04%,53.80,,,,,
1.675E+00,79.159,48.298,65.89%,53.61,,,,,
1.678E+00,78.978,48.129,65.74%,53.42,,,,,
1.681E+00,78.797,47.960,65.59%,53.24,,,,,
1.684E+00,78.616,47.791,65.44%,53.05,,,,,
1.687E+00,78.434,47.622,65.28%,52.86,,,,,
1.691E+00,78.252,47.454,65.13%,52.67,,,,,
1.694E+00,78.070,47.285,64.98%,52.49,,,,,
1.697E+00,77.887,47.116,64.83%,52.30,,,,,
1.700E+00,77.705,46.948,64.68%,52.11,,,,,
1.703E+00,77.522,46.779,64.52%,51.92,,,,,
1.706E+00,77.338,46.610,64.37%,51.74,,,,,
1.709E+00,77.155,46.442,64.22%,51.55,,,,,
1.712E+00,76.971,46.274,64.07%,51.36,,,,,
1.715E+00,76.787,46.105,63.91%,51.18,,,,,
1.718E+00,76.602,45.937,63.76%,50.99,,,,,
1.721E+00,76.418,45.769,63.61%,50.80,,,,,
1.724E+00,76.233,45.601,63.45%,50.62,,,,,
1.727E+00,76.048,45.433,63.30%,50.43,,,,,
1.730E+00,75.862,45.265,63.14%,50.24,,,,,
1.733E+00,75.676,45.098,62.99%,50.06,,,,,
1.737E+00,75.490,44.930,62.83%,49.87,,,,,
1.740E+00,75.304,44.762,62.68%,49.69,,,,,
1.743E+00,75.117,44.595,62.52%,49.50,,,,,
1.746E+00,74.931,44.427,62.37%,49.31,,,,,
1.749E+00,74.744,44.260,62.21%,49.13,,,,,
1.752E+00,74.556,44.093,62.06%,48.94,,,,,
1.755E+00,74.369,43.926,61.90%,48.76,,,,,
1.758E+00,74.181,43.759,61.74%,48.57,,,,,
1.761E+00,73.993,43.592,61.59%,48.39,,,,,
1.764E+00,73.993,43.592,61.59%,48.39,,,,,
1.767E+00,73.805,43.425,61.43%,48.20,,,,,
1.770E+00,73.616,43.258,61.27%,48.02,,,,,
1.773E+00,73.427,43.092,61.12%,47.83,,,,,
1.776E+00,73.238,42.925,60.96%,47.65,,,,,
1.779E+00,73.049,42.759,60.80%,47.46,,,,,
1.783E+00,72.859,42.592,60.64%,47.28,,,,,
1.786E+00,72.670,42.426,60.49%,47.09,,,,,
1.789E+00,72.479,42.260,60.33%,46.91,,,,,
1.792E+00,72.289,42.094,60.17%,46.72,,,,,
1.795E+00,72.099,41.928,60.01%,46.54,,,,,
1.798E+00,71.908,41.763,59.85%,46.36,,,,,
1.801E+00,71.717,41.597,59.69%,46.17,,,,,
1.804E+00,71.526,41.431,59.53%,45.99,,,,,
1.807E+00,71.335,41.266,59.38%,45.81,,,,,
1.810E+00,71.143,41.101,59.22%,45.62,,,,,
1.813E+00,70.951,40.936,59.06%,45.44,,,,,
1.816E+00,70.759,40.771,58.90%,45.26,,,,,
1.819E+00,70.567,40.606,58.74%,45.07,,,,,
1.822E+00,70.374,40.441,58.58%,44.89,,,,,
1.826E+00,70.182,40.277,58.42%,44.71,,,,,
1.829E+00,69.989,40.112,58.25%,44.52,,,,,
1.832E+00,69.795,39.948,58.09%,44.34,,,,,
1.835E+00,69.602,39.784,57.93%,44.16,,,,,
1.838E+00,69.409,39.620,57.77%,43.98,,,,,
1.841E+00,69.215,39.456,57.61%,43.80,,,,,
1.844E+00,69.021,39.292,57.45%,43.61,,,,,
1.847E+00,68.827,39.128,57.29%,43.43,,,,,
1.850E+00,68.632,38.965,57.13%,43.25,,,,,
1.853E+00,68.438,38.802,56.96%,43.07,,,,,
1.856E+00,68.243,38.639,56.80%,42.89,,,,,
1.859E+00,68.048,38.475,56.64%,42.71,,,,,
1.862E+00,67.853,38.313,56.48%,42.53,,,,,
1.865E+00,67.657,38.150,56.31%,42.35,,,,,
1.868E+00,67.462,37.987,56.15%,42.17,,,,,
1.872E+00,67.266,37.825,55.99%,41.99,,,,,
1.875E+00,67.070,37.663,55.83%,41.81,,,,,
1.878E+00,66.874,37.501,55.66%,41.63,,,,,
1.881E+00,66.678,37.339,55.50%,41.45,,,,,
1.884E+00,66.481,37.177,55.34%,41.27,,,,,
1.887E+00,66.285,37.015,55.17%,41.09,,,,,
1.890E+00,66.285,37.015,55.17%,41.09,,,,,
1.893E+00,66.088,36.854,55.01%,40.91,,,,,
1.896E+00,65.891,36.693,54.84%,40.73,,,,,
1.899E+00,65.694,36.532,54.68%,40.55,,,,,
1.902E+00,65.496,36.371,54.52%,40.37,,,,,
1.905E+00,65.299,36.210,54.35%,40.19,,,,,
1.908E+00,65.101,36.050,54.19%,40.01,,,,,
1.911E+00,64.903,35.889,54.02%,39.84,,,,,
1.914E+00,64.705,35.729,53.86%,39.66,,,,,
1.918E+00,64.507,35.569,53.69%,39.48,,,,,
1.921E+00,64.309,35.409,53.53%,39.30,,,,,
1.924E+00,64.110,35.249,53.36%,39.13,,,,,
1.927E+00,63.912,35.090,53.20%,38.95,,,,,
1.930E+00,63.713,34.931,53.03%,38.77,,,,,
1.933E+00,63.514,34.772,52.87%,38.60,,,,,
1.936E+00,63.315,34.613,52.70%,38.42,,,,,
1.939E+00,63.116,34.454,52.53%,38.24,,,,,
1.942E+00,62.916,34.295,52.37%,38.07,,,,,
1.945E+00,62.717,34.137,52.20%,37.89,,,,,
1.948E+00,62.517,33.979,52.04%,37.72,,,,,
1.951E+00,62.317,33.821,51.87%,37.54,,,,,
1.954E+00,62.117,33.663,51.70%,37.37,,,,,
1.957E+00,61.917,33.506,51.54%,37.19,,,,,
1.960E+00,61.717,33.348,51.37%,37.02,,,,,
1.964E+00,61.516,33.191,51.20%,36.84,,,,,
1.967E+00,61.316,33.034,51.04%,36.67,,,,,
1.970E+00,61.115,32.878,50.87%,36.49,,,,,
1.973E+00,60.915,32.721,50.70%,36.32,,,,,
1.976E+00,60.714,32.565,50.53%,36.15,,,,,
1.979E+00,60.513,32.409,50.37%,35.97,,,,,
1.982E+00,60.312,32.253,50.20%,35.80,,,,,
1.985E+00,60.110,32.097,50.03%,35.63,,,,,
1.988E+00,59.909,31.942,49.87%,35.46,,,,,
1.991E+00,59.708,31.786,49.70%,35.28,,,,,
1.994E+00,59.506,31.631,49.53%,35.11,,,,,
1.997E+00,59.304,31.477,49.36%,34.94,,,,,
2.000E+00,59.102,31.322,49.19%,34.77,,,,,
2.003E+00,58.901,31.168,49.03%,34.60,,,,,
2.007E+00,58.699,31.014,48.86%,34.43,,,,,
2.010E+00,58.496,30.860,48.69%,34.25,,,,,
2.013E+00,58.294,30.706,48.52%,34.08,,,,,
2.016E+00,58.294,30.706,48.52%,34.08,,,,,
2.019E+00,58.092,30.553,48.35%,33.91,,,,,
2.022E+00,57.890,30.399,48.18%,33.74,,,,,
2.025E+00,57.687,30.246,48.02%,33.57,,,,,
2.028E+00,57.484,30.094,47.85%,33.40,,,,,
2.031E+00,57.282,29.941,47.68%,33.23,,,,,
2.034E+00,57.079,29.789,47.51%,33.07,,,,,
2.037E+00,56.876,29.637,47.34%,32.90,,,,,
2.040E+00,56.673,29.485,47.17%,32.73,,,,,
2.043E+00,56.470,29.333,47.00%,32.56,,,,,
2.046E+00,56.267,29.182,46.83%,32.39,,,,,
2.049E+00,56.064,29.031,46.66%,32.22,,,,,
2.053E+00,55.861,28.880,46.50%,32.06,,,,,
2.056E+00,55.657,28.730,46.33%,31.89,,,,,
2.059E+00,55.454,28.579,46.16%,31.72,,,,,
2.062E+00,55.251,28.429,45.99%,31.56,,,,,
2.065E+00,55.047,28.279,45.82%,31.39,,,,,
2.068E+00,54.844,28.130,45.65%,31.22,,,,,
2.071E+00,54.640,27.981,45.48%,31.06,,,,,
2.074E+00,54.436,27.831,45.31%,30.89,,,,,
2.077E+00,54.232,27.683,45.14%,30.73,,,,,
2.080E+00,54.029,27.534,44.97%,30.56,,,,,
2.083E+00,53.825,27.386,44.80%,30.40,,,,,
2.086E+00,53.621,27.238,44.63%,30.23,,,,,
2.089E+00,53.417,27.090,44.46%,30.07,,,,,
2.092E+00,53.213,26.943,44.29%,29.91,,,,,
2.095E+00,53.009,26.795,44.12%,29.74,,,,,
2.099E+00,52.805,26.648,43.95%,29.58,,,,,
2.102E+00,52.601,26.502,43.78%,29.42,,,,,
2.105E+00,52.396,26.355,43.61%,29.25,,,,,
2.108E+00,52.192,26.209,43.44%,29.09,,,,,
2.111E+00,51.988,26.063,43.27%,28.93,,,,,
2.114E+00,51.784,25.918,43.10%,28.77,,,,,
2.117E+00,51.579,25.772,42.93%,28.61,,,,,
2.120E+00,51.375,25.627,42.76%,28.45,,,,,
2.123E+00,51.171,25.483,42.59%,28.29,,,,,
2.126E+00,50.966,25.338,42.42%,28.13,,,,,
2.129E+00,50.762,25.194,42.25%,27.97,,,,,
2.132E+00,50.558,25.050,42.08%,27.81,,,,,
2.135E+00,50.353,24.906,41.91%,27.65,,,,,
2.138E+00,50.149,24.763,41.74%,27.49,,,,,
2.142E+00,50.149,24.763,41.74%,27.49,,,,,
2.145E+00,49.944,24.620,41.57%,27.33,,,,,
2.148E+00,49.740,24.477,41.40%,27.17,,,,,
2.151E+00,49.535,24.335,41.23%,27.01,,,,,
2.154E+00,49.331,24.193,41.06%,26.85,,,,,
2.157E+00,49.126,24.051,40.89%,26.70,,,,,
2.160E+00,48.922,23.909,40.72%,26.54,,,,,
2.163E+00,48.717,23.768,40.55%,26.38,,,,,
2.166E+00,48.513,23.627,40.38%,26.23,,,,,
2.169E+00,48.309,23.486,40.21%,26.07,,,,,
2.172E+00,48.104,23.346,40.04%,25.91,,,,,
2.175E+00,47.900,23.206,39.87%,25.76,,,,,
2.178E+00,47.695,23.066,39.70%,25.60,,,,,
2.181E+00,47.491,22.926,39.53%,25.45,,,,,
2.184E+00,47.286,22.787,39.36%,25.29,,,,,
2.188E+00,47.082,22.648,39.19%,25.14,,,,,
2.191E+00,46.878,22.510,39.02%,24.99,,,,,
2.194E+00,46.673,22.371,38.85%,24.83,,,,,
2.197E+00,46.469,22.234,38.68%,24.68,,,,,
2.200E+00,46.265,22.096,38.51%,24.53,,,,,
2.203E+00,46.061,21.959,38.34%,24.37,,,,,
2.206E+00,45.856,21.822,38.17%,24.22,,,,,
2.209E+00,45.652,21.685,38.00%,24.07,,,,,
2.212E+00,45.448,21.549,37.83%,23.92,,,,,
2.215E+00,45.244,21.412,37.66%,23.77,,,,,
2.218E+00,45.040,21.277,37.49%,23.62,,,,,
2.221E+00,44.836,21.141,37.32%,23.47,,,,,
2.224E+00,44.632,21.006,37.15%,23.32,,,,,
2.227E+00,44.428,20.872,36.98%,23.17,,,,,
2.230E+00,44.225,20.737,36.81%,23.02,,,,,
2.234E+00,44.021,20.603,36.64%,22.87,,,,,
2.237E+00,43.817,20.469,36.47%,22.72,,,,,
2.240E+00,43.613,20.336,36.30%,22.57,,,,,
2.243E+00,43.410,20.203,36.13%,22.43,,,,,
2.246E+00,43.206,20.070,35.96%,22.28,,,,,
2.249E+00,43.003,19.938,35.79%,22.13,,,,,
2.252E+00,42.800,19.805,35.62%,21.98,,,,,
2.255E+00,42.596,19.674,35.45%,21.84,,,,,
2.258E+00,42.393,19.542,35.29%,21.69,,,,,
2.261E+00,42.190,19.411,35.12%,21.55,,,,,
2.264E+00,41.987,19.280,34.95%,21.40,,,,,
2.267E+00,41.987,19.280,34.95%,21.40,,,,,
2.270E+00,41.784,19.150,34.78%,21.26,,,,,
2.273E+00,41.581,19.020,34.61%,21.11,,,,,
2.277E+00,41.378,18.890,34.44%,20.97,,,,,
2.280E+00,41.175,18.761,34.27%,20.82,,,,,
2.283E+00,40.973,18.632,34.10%,20.68,,,,,
2.286E+00,40.770,18.503,33.93%,20.54,,,,,
2.289E+00,40.568,18.375,33.77%,20.40,,,,,
2.292E+00,40.365,18.247,33.60%,20.25,,,,,
2.295E+00,40.163,18.119,33.43%,20.11,,,,,
2.298E+00,39.961,17.992,33.26%,19.97,,,,,
2.301E+00,39.759,17.865,33.09%,19.83,,,,,
2.304E+00,39.557,17.739,32.93%,19.69,,,,,
2.307E+00,39.355,17.612,32.76%,19.55,,,,,
2.310E+00,39.154,17.487,32.59%,19.41,,,,,
2.313E+00,38.952,17.361,32.42%,19.27,,,,,
2.316E+00,38.751,17.236,32.25%,19.13,,,,,
2.319E+00,38.549,17.111,32.09%,18.99,,,,,
2.323E+00,38.348,16.987,31.92%,18.86,,,,,
2.326E+00,38.147,16.863,31.75%,18.72,,,,,
2.329E+00,37.946,16.739,31.58%,18.58,,,,,
2.332E+00,37.745,16.616,31.42%,18.44,,,,,
2.335E+00,37.545,16.493,31.25%,18.31,,,,,
2.338E+00,37.344,16.370,31.08%,18.17,,,,,
2.341E+00,37.144,16.248,30.92%,18.04,,,,,
2.344E+00,36.944,16.126,30.75%,17.90,,,,,
2.347E+00,36.743,16.005,30.58%,17.77,,,,,
2.350E+00,36.543,15.884,30.42%,17.63,,,,,
2.353E+00,36.344,15.763,30.25%,17.50,,,,,
2.356E+00,36.144,15.643,30.08%,17.36,,,,,
2.359E+00,35.944,15.523,29.92%,17.23,,,,,
2.362E+00,35.745,15.404,29.75%,17.10,,,,,
2.365E+00,35.546,15.284,29.59%,16.97,,,,,
2.369E+00,35.347,15.166,29.42%,16.83,,,,,
2.372E+00,35.148,15.047,29.26%,16.70,,,,,
2.375E+00,34.949,14.929,29.09%,16.57,,,,,
2.378E+00,34.751,14.812,28.92%,16.44,,,,,
2.381E+00,34.553,14.694,28.76%,16.31,,,,,
2.384E+00,34.354,14.577,28.59%,16.18,,,,,
2.387E+00,34.156,14.461,28.43%,16.05,,,,,
2.390E+00,33.959,14.345,28.27%,15.92,,,,,
2.393E+00,33.959,14.345,28.27%,15.92,,,,,
2.396E+00,33.761,14.229,28.10%,15.79,,,,,
2.399E+00,33.563,14.114,27.94%,15.67,,,,,
2.402E+00,33.366,13.999,27.77%,15.54,,,,,
2.405E+00,33.169,13.885,27.61%,15.41,,,,,
2.408E+00,32.972,13.770,27.44%,15.29,,,,,
2.412E+00,32.776,13.657,27.28%,15.16,,,,,
2.415E+00,32.579,13.543,27.12%,15.03,,,,,
2.418E+00,32.383,13.430,26.95%,14.91,,,,,
2.421E+00,32.187,13.318,26.79%,14.78,,,,,
2.424E+00,31.991,13.206,26.63%,14.66,,,,,
2.427E+00,31.795,13.094,26.46%,14.53,,,,,
2.430E+00,31.600,12.983,26.30%,14.41,,,,,
2.433E+00,31.405,12.872,26.14%,14.29,,,,,
2.436E+00,31.210,12.761,25.98%,14.17,,,,,
2.439E+00,31.015,12.651,25.82%,14.04,,,,,
2.442E+00,30.820,12.542,25.65%,13.92,,,,,
2.445E+00,30.626,12.432,25.49%,13.80,,,,,
2.448E+00,30.432,12.323,25.33%,13.68,,,,,
2.451E+00,30.238,12.215,25.17%,13.56,,,,,
2.454E+00,30.044,12.107,25.01%,13.44,,,,,
2.458E+00,29.851,11.999,24.85%,13.32,,,,,
2.461E+00,29.658,11.892,24.69%,13.20,,,,,
2.464E+00,29.465,11.785,24.53%,13.08,,,,,
2.467E+00,29.272,11.679,24.36%,12.96,,,,,
2.470E+00,29.080,11.573,24.20%,12.85,,,,,
2.473E+00,28.888,11.467,24.04%,12.73,,,,,
2.476E+00,28.696,11.362,23.88%,12.61,,,,,
2.479E+00,28.504,11.258,23.73%,12.50,,,,,
2.482E+00,28.313,11.153,23.57%,12.38,,,,,
2.485E+00,28.122,11.049,23.41%,12.26,,,,,
2.488E+00,27.931,10.946,23.25%,12.15,,,,,
2.491E+00,27.740,10.843,23.09%,12.04,,,,,
2.494E+00,27.550,10.740,22.93%,11.92,,,,,
2.497E+00,27.360,10.638,22.77%,11.81,,,,,
2.500E+00,27.170,10.537,22.61%,11.70,,,,,
2.504E+00,26.980,10.435,22.46%,11.58,,,,,
2.507E+00,26.791,10.334,22.30%,11.47,,,,,
2.510E+00,26.602,10.234,22.14%,11.36,,,,,
2.513E+00,26.414,10.134,21.99%,11.25,,,,,
2.516E+00,26.225,10.034,21.83%,11.14,,,,,
2.519E+00,26.225,10.034,21.83%,11.14,,,,,
2.522E+00,26.037,9.935,21.67%,11.03,,,,,
2.525E+00,25.849,9.837,21.52%,10.92,,,,,
2.528E+00,25.662,9.738,21.36%,10.81,,,,,
2.531E+00,25.475,9.640,21.20%,10.70,,,,,
2.534E+00,25.288,9.543,21.05%,10.59,,,,,
2.537E+00,25.101,9.446,20.89%,10.49,,,,,
2.540E+00,24.915,9.350,20.74%,10.38,,,,,
2.543E+00,24.729,9.253,20.58%,10.27,,,,,
2.546E+00,24.543,9.158,20.43%,10.17,,,,,
2.550E+00,24.358,9.063,20.27%,10.06,,,,,
2.553E+00,24.173,8.968,20.12%,9.95,,,,,
2.556E+00,23.988,8.874,19.97%,9.85,,,,,
2.559E+00,23.804,8.780,19.81%,9.75,,,,,
2.562E+00,23.620,8.686,19.66%,9.64,,,,,
2.565E+00,23.436,8.593,19.51%,9.54,,,,,
2.568E+00,23.253,8.501,19.35%,9.44,,,,,
2.571E+00,23.070,8.409,19.20%,9.33,,,,,
2.574E+00,22.887,8.317,19.05%,9.23,,,,,
2.577E+00,22.705,8.226,18.90%,9.13,,,,,
2.580E+00,22.523,8.135,18.75%,9.03,,,,,
2.583E+00,22.341,8.045,18.60%,8.93,,,,,
2.586E+00,22.160,7.955,18.44%,8.83,,,,,
2.589E+00,21.979,7.866,18.29%,8.73,,,,,
2.593E+00,21.799,7.777,18.14%,8.63,,,,,
2.596E+00,21.618,7.688,17.99%,8.53,,,,,
2.599E+00,21.439,7.600,17.84%,8.44,,,,,
2.602E+00,21.259,7.513,17.70%,8.34,,,,,
2.605E+00,21.080,7.426,17.55%,8.24,,,,,
2.608E+00,20.901,7.339,17.40%,8.15,,,,,
2.611E+00,20.723,7.253,17.25%,8.05,,,,,
2.614E+00,20.545,7.167,17.10%,7.96,,,,,
2.617E+00,20.368,7.082,16.95%,7.86,,,,,
2.620E+00,20.190,6.997,16.81%,7.77,,,,,
2.623E+00,20.014,6.913,16.66%,7.67,,,,,
2.626E+00,19.837,6.829,16.51%,7.58,,,,,
2.629E+00,19.661,6.746,16.36%,7.49,,,,,
2.632E+00,19.486,6.663,16.22%,7.40,,,,,
2.635E+00,19.310,6.580,16.07%,7.30,,,,,
2.639E+00,19.136,6.498,15.93%,7.21,,,,,
2.642E+00,18.961,6.417,15.78%,7.12,,,,,
2.645E+00,18.961,6.417,15.78%,7.12,,,,,
2.648E+00,18.787,6.336,15.64%,7.03,,,,,
2.651E+00,18.614,6.255,15.49%,6.94,,,,,
2.654E+00,18.441,6.175,15.35%,6.85,,,,,
2.657E+00,18.268,6.096,15.21%,6.77,,,,,
2.660E+00,18.096,6.017,15.06%,6.68,,,,,
2.663E+00,17.924,5.938,14.92%,6.59,,,,,
2.666E+00,17.753,5.860,14.78%,6.50,,,,,
2.669E+00,17.582,5.782,14.63%,6.42,,,,,
2.672E+00,17.411,5.705,14.49%,6.33,,,,,
2.675E+00,17.241,5.628,14.35%,6.25,,,,,
2.678E+00,17.071,5.552,14.21%,6.16,,,,,
2.681E+00,16.902,5.476,14.07%,6.08,,,,,
2.685E+00,16.733,5.400,13.93%,5.99,,,,,
2.688E+00,16.565,5.326,13.79%,5.91,,,,,
2.691E+00,16.397,5.251,13.65%,5.83,,,,,
2.694E+00,16.230,5.177,13.51%,5.75,,,,,
2.697E+00,16.063,5.104,13.37%,5.67,,,,,
2.700E+00,15.896,5.031,13.23%,5.58,,,,,
2.703E+00,15.730,4.959,13.09%,5.50,,,,,
2.706E+00,15.565,4.887,12.96%,5.42,,,,,
2.709E+00,15.400,4.815,12.82%,5.34,,,,,
2.712E+00,15.235,4.744,12.68%,5.27,,,,,
2.715E+00,15.071,4.674,12.54%,5.19,,,,,
2.718E+00,14.908,4.604,12.41%,5.11,,,,,
2.721E+00,14.745,4.534,12.27%,5.03,,,,,
2.724E+00,14.582,4.465,12.14%,4.96,,,,,
2.728E+00,14.420,4.396,12.00%,4.88,,,,,
2.731E+00,14.259,4.328,11.87%,4.80,,,,,
2.734E+00,14.098,4.261,11.73%,4.73,,,,,
2.737E+00,13.937,4.194,11.60%,4.65,,,,,
2.740E+00,13.777,4.127,11.47%,4.58,,,,,
2.743E+00,13.617,4.061,11.33%,4.51,,,,,
2.746E+00,13.458,3.995,11.20%,4.43,,,,,
2.749E+00,13.300,3.930,11.07%,4.36,,,,,
2.752E+00,13.142,3.866,10.94%,4.29,,,,,
2.755E+00,12.985,3.801,10.81%,4.22,,,,,
2.758E+00,12.828,3.738,10.68%,4.15,,,,,
2.761E+00,12.671,3.675,10.55%,4.08,,,,,
2.764E+00,12.516,3.612,10.42%,4.01,,,,,
2.767E+00,12.360,3.550,10.29%,3.94,,,,,
2.770E+00,12.360,3.550,10.29%,3.94,,,,,
2.774E+00,12.206,3.488,10.16%,3.87,,,,,
2.777E+00,12.052,3.427,10.03%,3.80,,,,,
2.780E+00,11.898,3.366,9.90%,3.74,,,,,
2.783E+00,11.745,3.306,9.78%,3.67,,,,,
2.786E+00,11.593,3.247,9.65%,3.60,,,,,
2.789E+00,11.441,3.188,9.52%,3.54,,,,,
2.792E+00,11.289,3.129,9.40%,3.47,,,,,
2.795E+00,11.139,3.071,9.27%,3.41,,,,,
2.798E+00,10.988,3.013,9.15%,3.34,,,,,
2.801E+00,10.839,2.956,9.02%,3.28,,,,,
2.804E+00,10.690,2.899,8.90%,3.22,,,,,
2.807E+00,10.541,2.843,8.77%,3.16,,,,,
2.810E+00,10.394,2.788,8.65%,3.09,,,,,
2.813E+00,10.247,2.732,8.53%,3.03,,,,,
2.816E+00,10.100,2.678,8.41%,2.97,,,,,
2.820E+00,9.954,2.624,8.29%,2.91,,,,,
2.823E+00,9.809,2.570,8.16%,2.85,,,,,
2.826E+00,9.664,2.517,8.04%,2.79,,,,,
