Angle [rad],Vrms [V],Vavg [V],Vrms [%],Vmeas [V],,In [%],Time [us],Time [ticks],Vmeas [V]
2.516E-01,119.938,106.234,99.83%,117.92,,82%,3426,62009,76.40
2.546E-01,119.938,106.234,99.83%,117.92,,83%,3353,62082,78.03
2.577E-01,119.930,106.191,99.82%,117.87,,84%,3272,62163,79.64
2.608E-01,119.922,106.148,99.82%,117.82,,85%,3190,62245,81.41
2.639E-01,119.914,106.104,99.81%,117.78,,86%,3109,62326,83.16
2.669E-01,119.906,106.059,99.80%,117.73,,87%,3027,62408,84.89
2.700E-01,119.898,106.015,99.80%,117.68,,88%,2930,62505,86.76
2.731E-01,119.889,105.969,99.79%,117.63,,89%,2840,62595,88.60
2.761E-01,119.880,105.923,99.78%,117.57,,90%,2743,62692,90.56
2.792E-01,119.871,105.877,99.77%,117.52,,91%,2637,62798,92.48
2.823E-01,119.862,105.830,99.77%,117.47,,92%,2523,62912,94.67
2.853E-01,119.853,105.782,99.76%,117.42,,93%,2409,63026,96.78
2.884E-01,119.843,105.734,99.75%,117.37,,94%,2271,63164,99.12
2.915E-01,119.833,105.686,99.74%,117.31,,95%,2132,63303,101.48
2.945E-01,119.823,105.637,99.73%,117.26,,96%,1969,63466,103.99
2.976E-01,119.813,105.587,99.73%,117.20,,97%,1782,63653,106.81
3.007E-01,119.803,105.537,99.72%,117.15,,98%,1546,63889,109.91
3.037E-01,119.792,105.487,99.71%,117.09,,99%,1221,64214,113.58
3.068E-01,119.781,105.436,99.70%,117.03,,100%,8,65427,119.83
3.099E-01,119.770,105.384,99.69%,116.98,,,,,
3.129E-01,119.759,105.332,99.68%,116.92,,,,,
3.160E-01,119.747,105.279,99.67%,116.86,,,,,
3.191E-01,119.735,105.226,99.66%,116.80,,,,,
3.221E-01,119.723,105.173,99.65%,116.74,,,,,
3.252E-01,119.711,105.119,99.64%,116.68,,,,,
3.283E-01,119.699,105.064,99.63%,116.62,,,,,
3.314E-01,119.686,105.009,99.62%,116.56,,,,,
3.344E-01,119.673,104.953,99.61%,116.50,,,,,
3.375E-01,119.660,104.897,99.60%,116.44,,,,,
3.406E-01,119.646,104.840,99.59%,116.37,,,,,
3.436E-01,119.633,104.783,99.58%,116.31,,,,,
3.467E-01,119.619,104.726,99.56%,116.25,,,,,
3.498E-01,119.605,104.668,99.55%,116.18,,,,,
3.528E-01,119.590,104.609,99.54%,116.12,,,,,
3.559E-01,119.576,104.550,99.53%,116.05,,,,,
3.590E-01,119.561,104.490,99.52%,115.98,,,,,
3.620E-01,119.546,104.430,99.50%,115.92,,,,,
3.651E-01,119.530,104.369,99.49%,115.85,,,,,
3.682E-01,119.515,104.308,99.48%,115.78,,,,,
3.712E-01,119.499,104.247,99.46%,115.71,,,,,
3.743E-01,119.483,104.184,99.45%,115.64,,,,,
3.774E-01,119.466,104.122,99.44%,115.58,,,,,
3.804E-01,119.466,104.122,99.44%,115.58,,,,,
3.835E-01,119.450,104.059,99.42%,115.51,,,,,
3.866E-01,119.433,103.995,99.41%,115.43,,,,,
3.896E-01,119.415,103.931,99.40%,115.36,,,,,
3.927E-01,119.398,103.866,99.38%,115.29,,,,,
3.958E-01,119.380,103.801,99.37%,115.22,,,,,
3.988E-01,119.362,103.735,99.35%,115.15,,,,,
4.019E-01,119.344,103.669,99.34%,115.07,,,,,
4.050E-01,119.325,103.603,99.32%,115.00,,,,,
4.081E-01,119.306,103.536,99.30%,114.92,,,,,
4.111E-01,119.287,103.468,99.29%,114.85,,,,,
4.142E-01,119.268,103.400,99.27%,114.77,,,,,
4.173E-01,119.248,103.331,99.26%,114.70,,,,,
4.203E-01,119.228,103.262,99.24%,114.62,,,,,
4.234E-01,119.208,103.193,99.22%,114.54,,,,,
4.265E-01,119.187,103.123,99.21%,114.47,,,,,
4.295E-01,119.166,103.052,99.19%,114.39,,,,,
4.326E-01,119.145,102.981,99.17%,114.31,,,,,
4.357E-01,119.124,102.910,99.15%,114.23,,,,,
4.387E-01,119.102,102.838,99.13%,114.15,,,,,
4.418E-01,119.080,102.765,99.12%,114.07,,,,,
4.449E-01,119.058,102.693,99.10%,113.99,,,,,
4.479E-01,119.035,102.619,99.08%,113.91,,,,,
4.510E-01,119.012,102.545,99.06%,113.83,,,,,
4.541E-01,118.989,102.471,99.04%,113.74,,,,,
4.571E-01,118.965,102.396,99.02%,113.66,,,,,
4.602E-01,118.941,102.321,99.00%,113.58,,,,,
4.633E-01,118.917,102.245,98.98%,113.49,,,,,
4.663E-01,118.893,102.169,98.96%,113.41,,,,,
4.694E-01,118.868,102.092,98.94%,113.32,,,,,
4.725E-01,118.843,102.015,98.92%,113.24,,,,,
4.756E-01,118.818,101.937,98.90%,113.15,,,,,
4.786E-01,118.792,101.859,98.88%,113.06,,,,,
4.817E-01,118.766,101.780,98.85%,112.98,,,,,
4.848E-01,118.739,101.701,98.83%,112.89,,,,,
4.878E-01,118.713,101.621,98.81%,112.80,,,,,
